camada	grupo	tratamiento	camada_grupo	feto	n_camada	muertos_camada	muerte
1	1	Sin_tratamiento_bajo_hierro	1	1	10	1	1
1	1	Sin_tratamiento_bajo_hierro	1	2	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	3	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	4	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	5	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	6	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	7	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	8	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	9	10	1	0
1	1	Sin_tratamiento_bajo_hierro	1	10	10	1	0
2	1	Sin_tratamiento_bajo_hierro	2	1	11	4	1
2	1	Sin_tratamiento_bajo_hierro	2	2	11	4	1
2	1	Sin_tratamiento_bajo_hierro	2	3	11	4	1
2	1	Sin_tratamiento_bajo_hierro	2	4	11	4	1
2	1	Sin_tratamiento_bajo_hierro	2	5	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	6	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	7	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	8	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	9	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	10	11	4	0
2	1	Sin_tratamiento_bajo_hierro	2	11	11	4	0
3	1	Sin_tratamiento_bajo_hierro	3	1	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	2	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	3	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	4	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	5	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	6	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	7	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	8	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	9	12	9	1
3	1	Sin_tratamiento_bajo_hierro	3	10	12	9	0
3	1	Sin_tratamiento_bajo_hierro	3	11	12	9	0
3	1	Sin_tratamiento_bajo_hierro	3	12	12	9	0
4	1	Sin_tratamiento_bajo_hierro	4	1	4	4	1
4	1	Sin_tratamiento_bajo_hierro	4	2	4	4	1
4	1	Sin_tratamiento_bajo_hierro	4	3	4	4	1
4	1	Sin_tratamiento_bajo_hierro	4	4	4	4	1
5	1	Sin_tratamiento_bajo_hierro	5	1	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	2	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	3	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	4	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	5	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	6	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	7	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	8	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	9	10	10	1
5	1	Sin_tratamiento_bajo_hierro	5	10	10	10	1
6	1	Sin_tratamiento_bajo_hierro	6	1	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	2	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	3	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	4	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	5	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	6	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	7	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	8	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	9	11	9	1
6	1	Sin_tratamiento_bajo_hierro	6	10	11	9	0
6	1	Sin_tratamiento_bajo_hierro	6	11	11	9	0
7	1	Sin_tratamiento_bajo_hierro	7	1	9	9	1
