Escuela	suburbs	minority	passed
1	0	0	4
2	0	1	9
3	1	1	3
4	0	0	9
5	1	0	0
6	1	0	4
7	1	0	10
8	1	0	3
9	0	0	5
10	0	0	6
11	0	0	4
12	0	1	9
13	0	0	11
14	0	0	29
15	0	0	5
16	0	0	11
17	1	0	0
18	0	0	13
19	0	1	4
20	0	0	3
21	1	0	0
22	0	0	10
23	0	0	21
24	0	0	5
25	0	0	10
26	0	0	5
27	1	0	0
28	0	0	9
29	1	0	0
30	0	1	5
31	0	0	5
32	0	0	0
33	0	1	10
34	1	0	11
35	0	0	10
36	0	0	4
37	0	0	0
38	1	0	3
39	0	1	4
40	0	0	15
41	0	0	6
42	0	1	9
43	0	1	9
44	0	1	3
45	0	1	5
46	0	0	3
47	0	0	16
48	0	0	4
49	1	0	0
50	1	0	15
