Estación	altitud	temp	Número
1	131.1	72.6	0
2	1338.1	58.8	50
3	18.3	67.5	2
4	1278.6	57	27
5	712.6	62.2	7
6	974.8	56.3	44
7	71	68.9	0
8	28	73.1	0
9	974.8	59.1	44
10	101.5	70.3	2
11	125	68	0
12	77.4	66.6	1
13	391.7	65.4	0
14	132.6	65.8	0
15	847.6	61.7	45
16	81.7	68.6	0
17	1516.4	55.5	50
18	21	67.6	1
19	1160.7	62.5	50
20	1431	59.6	41
21	81.7	68.7	0
22	18.3	67	2
23	182.9	67.9	0
24	1389.9	57.7	49
25	256	69.2	0
26	271.3	70.7	0
27	1088.1	66.8	12
28	520.6	65.4	6
29	18.3	67.6	0
30	44.2	68.2	0
31	999.7	62.1	50
32	146.3	68.7	0
33	222.5	66.9	0
34	483.4	65	1
35	725.4	66.5	16
36	6.1	69.1	0
37	1160.7	61.5	50
38	12.2	66.2	0
39	576.4	67.2	0
40	41.5	67.9	7
41	602	65.4	2
42	310.3	64.6	1
43	1444.4	54.5	44
44	1295.4	59.9	21
45	27.4	65.4	0
46	381.9	63.9	26
47	3.7	70.9	0
48	2139.7	60.1	24
49	18	67.7	0
50	327.7	68	6
51	146.3	67.4	0
52	40.8	69.9	0
53	1165.9	63.1	22
54	712.6	64	0
55	36.6	65.9	0
56	73.8	67.4	0
57	111.3	67.9	1
58	83.8	66.2	0
59	398.4	64.2	4
60	1179.6	64	49
