nidada	tratamiento	tratamiento_desc	huevo	eclosiono	total_nidada_tratamiento	eclosionados_nidada_tratamiento
1	1	CO2_y_O2_removidos	1	0	6	0
1	1	CO2_y_O2_removidos	2	0	6	0
1	1	CO2_y_O2_removidos	3	0	6	0
1	1	CO2_y_O2_removidos	4	0	6	0
1	1	CO2_y_O2_removidos	5	0	6	0
1	1	CO2_y_O2_removidos	6	0	6	0
1	2	Solo_CO2_removido	1	1	6	3
1	2	Solo_CO2_removido	2	1	6	3
1	2	Solo_CO2_removido	3	1	6	3
1	2	Solo_CO2_removido	4	0	6	3
1	2	Solo_CO2_removido	5	0	6	3
1	2	Solo_CO2_removido	6	0	6	3
1	3	Ninguno_removido	1	0	6	0
1	3	Ninguno_removido	2	0	6	0
1	3	Ninguno_removido	3	0	6	0
1	3	Ninguno_removido	4	0	6	0
1	3	Ninguno_removido	5	0	6	0
1	3	Ninguno_removido	6	0	6	0
2	1	CO2_y_O2_removidos	1	0	13	0
2	1	CO2_y_O2_removidos	2	0	13	0
2	1	CO2_y_O2_removidos	3	0	13	0
2	1	CO2_y_O2_removidos	4	0	13	0
2	1	CO2_y_O2_removidos	5	0	13	0
2	1	CO2_y_O2_removidos	6	0	13	0
2	1	CO2_y_O2_removidos	7	0	13	0
2	1	CO2_y_O2_removidos	8	0	13	0
2	1	CO2_y_O2_removidos	9	0	13	0
2	1	CO2_y_O2_removidos	10	0	13	0
2	1	CO2_y_O2_removidos	11	0	13	0
2	1	CO2_y_O2_removidos	12	0	13	0
2	1	CO2_y_O2_removidos	13	0	13	0
2	1	CO2_y_O2_removidos	13	0	13	0
2	2	Solo_CO2_removido	1	0	13	0
2	2	Solo_CO2_removido	2	0	13	0
2	2	Solo_CO2_removido	3	0	13	0
2	2	Solo_CO2_removido	4	0	13	0
2	2	Solo_CO2_removido	5	0	13	0
2	2	Solo_CO2_removido	6	0	13	0
2	2	Solo_CO2_removido	7	0	13	0
2	2	Solo_CO2_removido	8	0	13	0
2	2	Solo_CO2_removido	9	0	13	0
